Tim Burton,director
James Marshall,director
Gandja Monteiro,director
Alfred Gough,writer
Miles Millar,writer
Kayla Alpert,writer
April Blair,writer
Matt Lambert,writer
Jenna Ortega,actor
Gwendoline Christie,actor
Riki Lindhome,actor
Emma Myers,actor
Joy Sunday,actor
Naomi J. Ogawa,actor
Christina Ricci,actor
Jamie McShane,actor
Hunter Doohan,actor
Percy Hynes White,actor
Georgie Farmer,actor
Johnna Dias-Watson,actor
Oliver Watson,actor
Victor Dorobantu,actor
Moosa Mostafa,actor
Daniel Himschoot,actor
Luyanda Unati Lewis-Nyawo,actor
Iman Marson,actor
Calum Ross,actor
Cezar Grumazescu,actor
Tommie Earl Jenkins,actor
Catherine Zeta-Jones,actor
Morgan Beale,actor
George Burcea,actor
Islam Bouakkaz,actor
William Houston,actor
Karina Varadi,actor
Rina Mahoney,actor
Georgia Goodman,actor
Murray McArthur,actor
Fred Armisen,actor
Luis Guzman,actor
Olimpia Malai,actor
Isaac Ordonez,actor
Nitin Ganatra,actor
Lucius Hoyos,actor
Cheherezade Valentine Okotaka Ebale,actor
Oliver Wickham,actor
Edward Kennedy,actor
Ismail Kesu,actor
Caroline Lawrie,actor
Lachele Carl,actor
Gwen Jones,actor
Lisa O'Hare,actor
Sophia Nomvete,actor
Amanda Drew,actor
Ryan Ellsworth,actor
Gloria Garcia,actor
Gracy Goldman,actor
Lewis Hayes,actor
Philip Rosch,actor
Michael Okele,actor
Chloe Cate,actor
Kayla Alpert,executive producer
Gail Berman,executive producer
Tim Burton,executive producer
Jonathan Glickman,executive producer
Carla Gonzalez Vargas,co-executive producer
Alfred Gough,executive producer
Tommy Harper,executive producer
Nick Iannelli,co-producer
Kevin Lafferty,executive producer
Miles Millar,executive producer
David Minkowski,co-executive producer
Kevin Miserocchi,executive producer
Andrew Mittman,executive producer
Carmen Pepelea,producer
Steve Stark,executive producer
Natalie Testa,associate producer
Todd Williams,co-executive producer
Chris Bacon,music
Danny Elfman,music
Stephan Pehrsson,cinematography
David Lanzenberg,cinematography
Ana Yavari,film editing
Jay Prychidny,film editing
Paul G. Day,film editing
Florina Fernandes,casting
Sophie Holland,casting
John Papsidera,casting
Mark Scruton,production design
Adrian Curelea,supervising art director
Ghinea Diana,art direction
Silvia Nancu,art direction
Andrei-Florian Popa,assistant art director
Serban Porupca,senior art director
Vlad Roseanu,art director
Roxana Alexandru,art direction
Carmen Ratoi,art direction
Laurentiu Zarnoianu,set direction
David Morison,set direction
Rob Hepburn,set direction
Colleen Atwood,costume design
Bianca Boeroiu,makeup artist
Catalin Ciutu,hair stylist supervisor
Natalie L Costello,special makeup effects artist
Julian Hutcheson,special makeup effects artist
Nirvana Jalalvand,hair & makeup artist
Grace McComisky,prosthetic artist
Tara McDonald,hair & makeup designer
Dominic Mombrun,dental effects designer & fabricator
Angela Ruiz Morales,prosthetics artist
Paraschiv Oana,makeup artist
Alexandru Sassu,assistant makeup artist
Bas Schwarz,special effects makeup artist
Ruben Serra,special makeup effects artist
Margo Stefan,hair stylist
Viktoria Stieber,prosthetic makeup artist
Sinead Sweeney,SFX contact lens coordinator
Iuliana Temelie,hair stylist
Clara Tudose,hair & makeup artist
Raquel Alvarez,prosthetic makeup sculptor
Freda Ellis,makeup supervisor
Ripley Dale-Gulston,junior hair & makeup artist
Olimpia Stoicea,hair & makeup artist: main team
Tia Costell,junior hair & makeup artist
Susan Cole,personal hair stylist
Jean Carlos de Blas,key hair & makeup artist
Gabriella Havens,makeup artist
Sheherezada Kouchaki,makeup artist
Raluca Moldoveanu,makeup artist
Andrea Dardea Tesdall,special makeup effects artist
Nicoleta Toader,hair stylist
Natalie Fox,additional hair & makeup artist
Niki De Jong,prosthetic makeup artist
Ionel Popa,special makeup effects artist
Athina Sapanidis,prosthethic makeup artist
Razvan Badea,unit production manager
Irene Iovan Calangiu,health & safety unit production manager
Alexandru Cseh,production manager
Emma Mallett,unit production manager
Alexandru Acsinte,assistant director
Emilie Balusson,second second assistant director
Bianca Bumbacea,assistant director
Simona Dinu,second assistant director
Mariana Grama,crowd second assistant director
Mircea Hategan,first assistant director
Stefania Ispas,trainee assistant director
Loyzo,third assistant director
Raphael Tudor,third assistant director
Costin Sforaru,assistant director
Sabina Balan,crowd first assistant director
Brett Chan,second unit director
Ada Dumitru,cast assistant
Emyr Glyn Rees,first assistant director
Jessica Kirec,second assistant director
George Walker,first assistant director
Richard O'Brien-Moran,first assistant director
Mihaela Ionita,second assistant director
Alexandra Popa,crowd second assistant director
Alexandru Trandafira,crowd assistant director
Sucioaia Alexandra,set dressing painter
Tache Alexandru,graphic designer
Corneliu Mihai Bonciu,sculptor
Rachel Garlick,storyboard artist
Florin Gavrila,lead set dressing painter
Adi Handac,property master
Dana Ilie,art department manager
Alexandru Titus Ipate,action vehicles supervisor
Simona Maican,art department coordinator
Cristian Mihaila,assistant set decorator
Cosmin Miroiu,head of greenery
Amalia Mititelu,set dressing painter
Pietro Nume,concept artist
Iulia Petrescu,assistant set decorator
Madalina Ripanu,clearance coordinator
Geaniloni Sandru,lead painter
Eusebiu Sirbu,head graphic designer
Cristina Stefan,graphic designer
Alexandra Tudor,assistant art director
Laurentiu Zarnoianu,leadman
Liviu Antonescu,graphic designer
Madalina Ciosu,set designer
Tudor Iordachescu,set designer
Anca Iscru,set designer
Ana Neag,assistant art director
Iulia Pasarica,assistant art director
Andreea Siminea,set designer
Amy Lockwood,assistant set decorator
Andrew Cherry,storyboard artist
Cristian Darstar,storyboard artist
Adrian Curelea,supervising art director
Serban Porupca,senior art director
Radu Costache,assistant property master
Jennifer Keen,first set decoration buyer
Karen Krizanovich,production design researcher
Ben Livingstone,illustrator
Yohann Angelvy,french casting mixer
Michael Baskerville,re-recording mixer
Nicolae Comarzan,sound mixer
Tony Diaz,adr mixer
Arturo A. Fuenmayor,re-recording mix assistant
Alastair Gray,dialogue editor
Justin Helle,foley mixer
John Loranger,supervising sound editor
Liviu Lupsa,sound mixer
Kristi McIntyre,sound effects editor
Sean Miller,adr recordist
Faustine Pelipel,assistant sound editor
Dan Sexton,sound effects editor
Alex Stylianou,adr recordist
Jamie Sulek,re-recording mixer
Mike Tehrani,adr mixer
Marcus Byrne,adr mixer 
Greg Crawford,adr mixer
Juan Martin Del Campo,adr mixer
Tim McKeever,adr mixer
Simon Diggins,adr mixer
Jonathan Gomez,adr mixer
Nathan Jackson,foley editor
William Kellerman,foley artist
Leslie Liu,adr mixer
Ana Quiroga,audio coordinator
Dan Barcutean,special effects technician
Max Costello,special effects technician
Florin Stoian,special effects technician
Harry Troughton,special effects coordinator
Jason Troughton,special effects supervisor
Adrian Nica,lead technician
Ilinca Angelescu,special effects makeup
Yovko Dogandjiiski,special effects supervisor
Antonia Tocheva,special effects office coordinator
Matthew Adams,digital compositor
Oana Bardan,visual effects coordinator
Craig Calvert,visual effects supervisor
Kevin Chandoo,head of studio
Nick Colangelo,visual effects producer
John Coldrick,visual effects supervisor
Sam Cole,lighting lead
Chris Cooper,cg supervisor
Roger Dalupang,lead render wrangler
Swedyl DSouza,visual effects production manager
Maxime Ducharme,visual effects artist
Paula Fanaia,digital compositor
Mariah Fleetham,visual effects production assistant
Kathryn Foster,visual effects editor
Ben Funk,lead compositor
Keith Goh,visual effects assistant editor
Kari-Lyn Gravel,visual effects associate line producer
Jon Howard,visual effects producer
Kent Johnson,visual effects producer
Anna Joukova,visual effects compositor
Jesse Kawzenuk,on-set visual effects supervisor
Grant Lee,visual effects supervisor
Jake Lunt Davies,concept design
Dumitrana Teodora Lupu,visual effects production assistant
Amy Madigan,visual effects production manager
Yael Majors,visual effects assistant supervisor
Mariano Mendoza,assets lead
Guillermo Molina,lead tools developer
Skye Morandin,visual effects production manager
Tom Nagy,animation supervisor
Ken Nielsen,compositing supervisor
Razvan Nineaca,data wrangler
Anthony O'Connell,Render Wrangler
Catalin Otelea,data wrangler
Matei Ovejan,data wrangler
Alessandro Pantanella,visual effects supervisor
Travis Pond,compositor
Yawar Raja,layout lead
Aditya Sawant,visual effects coordinator
Matt Schofield,vfx head of operations
Ksenia Shutova,compositor
Mark Simone,visual effects producer
Denis St-Pierre,compositor
Ryan Terk,visual effects coordinator
Jason Teske,rigging lead
Tom Turnbull,visual effects supervisor
Fabian Varela,visual effects producer
Kelly Weisz,visual effects studio manager
Angela Zhang,visual effects production manager
Kayden Anderson,visual effects producer
Eddie Englander,visual effects supervisor
Rashid Khallouk,compositing lead
Timothy Mah,visual effects editor
Michael Osuszek,visual effects coordinator
Rodrigo Paiva,compositing lead
Suresh Pandi,compositor
Francois Robert,matchmove/layout artist
Adam Smith,lead compositor
Sarvesh Amre,visual effects production manager
Benoit Briere,visual effects supervisor
Paul Chambers,assets supervisor
Dipak Gaur,digital compositor
Taraknath Ghosh,paint artist
Baz Lanaris,cg supervisor
Prateek Mishra,paint artist
Erin Nicholson,cg supervisor
Bikram Singh,paint artist
Khushroo Surveyor,visual effects lighter
Ramesh Kumar Yanagandhula,paint artist
Lynx Zuo,digital compositor
Patti Gannon,compositor
Tanya Haddad,visual effects producer
JoAnna Johnson,compositor
Luca Lim Diniz,visual effects artist
Brodie McNeill,visual effects supervisor
Tabata Ortiz,visual effects artist
Nishant Patel,visual effects lighter
Umapathy Rajarathinam,compositor
Genesis Rivas,compositor
Manish Rohith,compositing artist
Luca Gabriele Rossetti,environment supervisor
Salil Thapa,visual effects line producer
Fran�ois Trudel,visual effects artist
Wesley While,compositor
Kaylie Whitcher,visual effects producer
Sarah Wormsbecher,visual effects executive producer
Summer Zong,cg supervisor
Oksana Andrulis,visual effects production manager
David Dionne,visual effects artist
Josh George,fx lead
James Takashi Higuchi,lighting supervisor
Christopher Jude,compositor
Jose Lasa,compositor
Marco Lee,compositing supervisor
Dinaaz Mathur,visual effects production coordinator
Ben McDougal,surfacing lead
Sumit Mukherjee,paint supervisor
Isha Nigam,head of production
Ryan Jae Wook Park,layout supervisor
Gustavo Sanchez-Perez,fx supervisor
Kyle Sim,head of 2d
Pankaj Umbarkar,junior paint lead
Sahil Agrahari,junior paint artist
Chris Archinet,visual effects artist
Ajay Kumar Attinti,roto lead
Samuel Boisvert,visual effects artist
Reine Bourgault,visual effects artist
Aakash Chaudhari,roto artist
Dave David,animation artist
Amod Diwakar,assistant visual effects line producer
Nadine Freve,visual effects editor
Mark Goldberg,compositor
Leonardo Andres Grabau Villalba,visual effects artist
Jonathan Gregoire,visual effects artist
Jeanne Hebert,visual effects artist
Pravin Hodage,2d supervisor
Cory Humes,animation supervisor
Siddarth Jambhulkar,compositor
Mukesh Joshi,senior i/o coordinator
Simon Lecavalier,cg supervisor
Christophe Longtin,visual effects artist
Oleg Memukhin,fx supervisor
Waseem Mohammed,head of central production
Dany Richard,visual effects artist
Nisarg Suthar,lighting supervisor
Nitesh Sutrave,compositing supervisor
Sarvesh Talekar,roto artist
Himani Tyagi,junior paint artist
Waseem Ahmad Khan,paint artist
Rodrigo Albano,environment artist
Don Carlo Alvir,animation artist
Leanndro Amorim,compositing artist
Seshadri Anand,tracking/layout lead
Blake Anderson,visual effects supervisor
Schuyler Anderson,tracking/layout lead
Edwin Arismendez,visual effects artist
Jessica Bayliss,head of production
Sudhakar Bhavanasi,deputy manager
Alan Bisht,compositing artist
William Blanchette,visual effects artist
Jordan Boulais,visual effects artist
J. Alan Bradshaw,head of cg
Peter Braeley,digital matte painter
Charlotte Breton,visual effects editor
Alex Bronfman,sales lead
Jonathan Bronfman,head of studio
Dennis Chan,animation artist
Hardik Chauhan,senior compositing artist
Molly Chen,assets artist
Sujesh V. Chitty,concept artist
Nolan Conrad,digital compositor
Andres Couturier,graphic artist
Madhu Dasyapu,assistant roto supervisor
Rodrigo de Angelis,fx artist
Sofia Diaz,lighting artist
Maya Dumont-Deslandes,visual effects studio manager
Abdullah Ecirli,compositing artist
Manoj Kumar Elangovan,tracking & layout artist
Michael Enzbrunner,animation lead
Timothy Fleur,creature artist
Adam Fok,rigging lead
Gil Franco,assets artist
Emily Funk,assets artist
Antonio Gallardo,visual effects producer
Gregory Galliani,modeling lead
Igor Garanovschii,matte painter
Kunal Ghai,paint artist
Rakan Ghresi,fx artist
Jimmy Gill,animation artist
Yash Gowda,head of 2d
Jameer Haider,paint artist
Lewis Hawkes,rigging lead
Jim Hillin,visual effects lighter
Curtis Hsiung,animator
Chen Kuang Hsu,tracking & layout artist
Salvatore Iamonte,rigging artist
Pragati Jana,paint artist
Juyong Jeon,visual effects artist
Kenny Jia,digital matte painter lead
Laszlo Kalbache,asset artist
Ashraf Karim,senior compositing artist
Sharad Kate,paint artist
Min Kim,compositing supervisor
Jamie Knoop,visual effects production assistant
